order_date,quantity,masked_sku_code
2025-01-12,14,db2cc353
2025-01-12,1,660bd548
2025-01-12,34,7852ed4e
2025-01-12,93,e924317d
2025-01-12,1,16e2efb5
2025-01-12,45,ec2b3d34
2025-01-12,4,316e8115
2025-01-12,160,d8d4983e
2025-01-12,37,d097de7a
2025-01-12,2,4ff13296
2025-01-12,10,f0770d75
2025-01-12,210,2262db16
2025-01-12,120,0a810035
2025-01-12,49,43f82f47
2025-01-12,10,ec29c1ab
2025-01-12,2,f96b46d6
2025-01-12,42,a4b2b5b3
2025-01-12,9,df065632
2025-01-12,4,1427095a
2025-01-12,23,0b24ab71
2025-01-12,1,bd7681a7
2025-01-12,4,7e6a2542
2025-01-12,1,27b67f03
2025-01-12,7,8463d702
2025-01-12,6,b624eeb8
2025-01-12,62,011a8c48
2025-01-12,3,6693d376
2025-01-12,1,37d3fbb8
2025-01-12,1,59a8b609
2025-01-12,2,b4c56992
2025-01-12,6,580cda30
2025-01-12,8,fb82fafa
2025-01-12,3,c6de90b5
2025-01-12,3,cd3899a1
2025-01-12,1,46fb20f8
2025-01-12,1,9619be1b
2025-01-12,2,141de7ca
2025-01-12,36,9aa22242
2025-01-12,1,b326f9cb
2025-01-12,73,2deddac3
2025-01-12,1,a7847954
2025-01-12,1,a357938e
2025-01-12,144,f83d7472
2025-01-12,43,2d079d88
2025-01-12,11,10b80a8c
2025-01-12,126,cde1bcc2
2025-01-12,1,8620de3a
2025-01-12,1,3b3adbee
2025-01-12,2,aa59449b
2025-01-12,3,2cd01855
2025-01-12,22,45de4abc
2025-01-12,15,0da042e0
2025-01-12,63,12bf0a05
2025-01-12,2,dfba1a22
2025-01-12,36,6de893b8
2025-01-12,64,9859b82f
2025-01-12,3,f632df5a
2025-01-12,17,2f284867
2025-01-12,1,37d96554
2025-01-12,1,8d00f109
2025-01-12,1,0578e086
2025-01-12,1,0f7bde02
2025-01-12,10,e8efc6b4
2025-01-12,4,042497cc
2025-01-12,25,d0275ee7
2025-01-12,1,cca2a7f9
2025-01-12,31,52ea9c6a
2025-01-12,2166,5113ffa8
2025-01-12,30,eef30086
2025-01-12,2,3a34b2e9
2025-01-12,16,a42ab303
2025-01-12,1,a05100af
2025-01-12,2,81a7564c
2025-01-12,2,7ba8d736
2025-01-12,72,86b780ea
2025-01-12,2,ce43ea9f
2025-01-12,1,b4c72d74
2025-01-12,1,a70b567e
2025-01-12,6,fc0ca0f9
2025-01-12,2,528ef78f
2025-01-12,6,ad062965
2025-01-12,1,2e988452
2025-01-12,3,af7a31ec
2025-01-12,810,886fd9a7
2025-01-12,1,ed3fa6d4
2025-01-12,64,205a77cb
2025-01-12,1,5156125b
2025-01-12,3,0a9d9832
2025-01-12,1,047c55a4
2025-01-12,210,6a4e0386
2025-01-12,24,981eed1f
2025-01-12,2,88696867
2025-01-12,8,9c7c9fec
2025-01-12,1,b1de9988
2025-01-12,3,b74f6b5f
2025-01-12,1,dd6748fe
2025-01-12,2,181a9249
2025-01-12,12,2e924810
2025-01-12,1,ad86bbd7
2025-01-12,9,3cbd85f8
2025-01-12,4,56f552d1
2025-01-12,210,c6411080
2025-01-12,4,7ae54431
2025-01-12,1,f8678131
2025-01-12,3,e7b05815
2025-01-12,13,f86f27d6
2025-01-12,2,2e9bf12b
2025-01-12,98,7044a108
2025-01-12,1,a020f08d
2025-01-12,7,cbcf3bd7
2025-01-12,2,f1e4dcda
2025-01-12,6,d36baa2f
2025-01-12,1,46eade4c
2025-01-12,5,c3ab9f93
2025-01-12,3,451f54ed
2025-01-12,2,5aa2a4dd
2025-01-12,1,46eead55
2025-01-12,129,b7b552b4
2025-01-12,2,607c1d1b
2025-01-12,2,4f558a7f
2025-01-12,13,f4782ad1
2025-01-12,6,ecedfdf1
2025-01-12,123,88d49191
2025-01-12,3,29d1774d
2025-01-12,2,b8c6d72f
2025-01-12,1,24db0565
2025-01-12,3,d602ba3e
2025-01-12,38,5f523d67
2025-01-12,21,b4f3d1f4
2025-01-12,2165,f54d4830
2025-01-12,5,52913cb6
2025-01-12,5,9c48f1c0
2025-01-12,2,de85aaac
2025-01-12,29,32d6e331
2025-01-12,1,0b1ce385
2025-01-12,3,85b86076
2025-01-12,4,af93329a
2025-01-12,67,ba82548c
2025-01-12,31,9c21222e
2025-01-12,32,7edbc501
2025-01-12,22,65a452e3
2025-01-12,1,c80fab75
2025-01-12,25,7f7f9311
2025-01-12,4,2dc64d98
2025-01-11,12,9619be1b
2025-01-11,3,c65ab738
2025-01-11,76,a05100af
2025-01-11,12,fc0ca0f9
2025-01-11,14,ecedfdf1
2025-01-11,42,580cda30
2025-01-11,4,51ea50a2
2025-01-11,260,d8d4983e
2025-01-11,21,85b86076
2025-01-11,10,34af5ed5
2025-01-11,2,04483e6f
2025-01-11,15,f96b46d6
2025-01-11,42,7ec0a945
2025-01-11,2,82900067
2025-01-11,40,d36baa2f
2025-01-11,7,528ef78f
2025-01-11,2541,f79fb646
2025-01-11,1,7142dc5e
2025-01-11,4,1427095a
2025-01-11,45,0b24ab71
2025-01-11,1,595f0a63
2025-01-11,11,0b1ce385
2025-01-11,3,90444608
2025-01-11,4,c80fab75
2025-01-11,79,45de4abc
2025-01-11,385,f54d4830
2025-01-11,40,56f552d1
2025-01-11,6,bf31f328
2025-01-11,117,3cbd85f8
2025-01-11,7,ad86bbd7
2025-01-11,20,2e924810
2025-01-11,1,742e8517
2025-01-11,50,88d49191
2025-01-11,2,b3ed24d6
2025-01-11,1000,5b9e5d0e
2025-01-11,45,af93329a
2025-01-11,1,5aa2a4dd
2025-01-11,147,0a1d6b2b
2025-01-11,5,37d96554
2025-01-11,1743,721a2391
2025-01-11,60,60d0abdb
2025-01-11,10,2e988452
2025-01-11,2,0cf7ae7c
2025-01-11,1,d28361f5
2025-01-11,3,46fb20f8
2025-01-11,23,f0770d75
2025-01-11,6,5113ffa8
2025-01-11,8,cd3899a1
2025-01-11,12,c6de90b5
2025-01-11,86,fb82fafa
2025-01-11,192,660bd548
2025-01-11,1350,c3cc5f4d
2025-01-11,64,db2cc353
2025-01-11,82,4ddb78d1
2025-01-11,1314,aa083002
2025-01-11,70,4eedb323
2025-01-11,6,52ea9c6a
2025-01-11,1,61d43154
2025-01-11,172,65a452e3
2025-01-11,4,5f389a5a
2025-01-11,3,09571176
2025-01-11,49,7edbc501
2025-01-11,1440,b2269a0d
2025-01-11,853,cde1bcc2
2025-01-11,4,2a03b9b3
2025-01-11,1,68e23192
2025-01-11,440,0a810035
2025-01-11,4,ee19dee8
2025-01-11,2,b4c72d74
2025-01-11,4,6693d376
2025-01-11,4,37d3fbb8
2025-01-11,1,a7847954
2025-01-11,14,a357938e
2025-01-11,80,2deddac3
2025-01-11,587,b4c56992
2025-01-11,240,5b484e5b
2025-01-11,15,a4cc806e
2025-01-11,66,ec29c1ab
2025-01-11,1,da213e1f
2025-01-11,154,2d079d88
2025-01-11,826,f83d7472
