order_date,quantity,masked_sku_code
2025-01-12,26,8c134c6c
2025-01-12,12,0dbea168
2025-01-12,19,2f42e954
2025-01-12,1,28d72604
2025-01-12,1,664c8c0d
2025-01-12,4,ae8682f2
2025-01-12,2,d3defc51
2025-01-12,1,0c363c86
2025-01-12,1,38661c41
2025-01-12,1,7770aede
2025-01-12,3,189ed5ff
2025-01-12,1,b442069b
2025-01-12,1,f3230580
2025-01-12,3,70a2d464
2025-01-12,38,39cc494e
2025-01-12,7,b708030f
2025-01-12,1,a9e6998d
2025-01-12,2,6bf136ae
2025-01-12,3,9c32d9b6
2025-01-12,1,dedeb242
2025-01-12,1,1f07b42c
2025-01-12,8,740712d9
2025-01-12,1,f5c40eed
2025-01-12,1,009cbbbc
2025-01-12,4,b57cf94d
2025-01-12,2,6f40a820
2025-01-12,1,e042b658
2025-01-12,2,a911e159
2025-01-12,6,1f0b6b36
2025-01-12,6,a1a95453
2025-01-12,2,64bc65ef
2025-01-12,3,c7ab7b46
2025-01-12,1,43e26c45
2025-01-12,5,acc7cae3
2025-01-12,1,df5ea722
2025-01-12,1,2f5bca98
2025-01-12,20,5680fa2c
2025-01-12,1,84e92beb
2025-01-12,10,aa31bf18
2025-01-12,2,ca5bd4e7
2025-01-12,5,4ff21a2f
2025-01-12,10,9bbec700
2025-01-12,1,5032e68e
2025-01-12,1,ac6d2aa0
2025-01-12,1,35a43126
2025-01-12,4,418d9002
2025-01-12,3,6e399971
2025-01-12,20,79beec10
2025-01-12,2,e261dd70
2025-01-12,2,6490ebf6
2025-01-12,1,8554ec9d
2025-01-12,9,b5e295b2
2025-01-12,11,66afb2d2
2025-01-12,1,ed520f94
2025-01-12,15,883bae93
2025-01-12,3,b0b64f6f
2025-01-12,1,4201b535
2025-01-12,11,677e3911
2025-01-12,15,6a535be4
2025-01-12,2,a4bf8504
2025-01-12,3,c4c34484
2025-01-12,1,82431be7
2025-01-12,2,7096f535
2025-01-12,1,db1ff3ba
2025-01-12,32,a7658637
2025-01-12,1,e74c04b3
2025-01-12,3,b139e391
2025-01-12,9,53890161
2025-01-12,7,05ac8629
2025-01-12,2,8dcbf913
2025-01-12,1,4b1d2064
2025-01-12,1,05e02671
2025-01-12,3,b5db2c70
2025-01-12,1,d0bf46fc
2025-01-12,1,966783bd
2025-01-12,11,00c48cda
2025-01-12,3,625db279
2025-01-12,1,c4788b49
2025-01-12,5,97ca7643
2025-01-12,1,c3602906
2025-01-12,6,9caf8fbc
2025-01-12,4,8a34a490
2025-01-12,1,60aa1270
2025-01-12,2,a48791a5
2025-01-12,1,03ee5d2d
2025-01-12,3,6ad8fa05
2025-01-12,4,d688f1bf
2025-01-12,5,92f17686
2025-01-12,1,d939c441
2025-01-12,4,2325c074
2025-01-12,1,fb76a93d
2025-01-12,1,1d4f8895
2025-01-12,20,4da8ed93
2025-01-12,6,b5ab1f64
2025-01-12,3,a0741383
2025-01-12,1,dd0a9f7b
2025-01-12,9,4821ccb0
